idx,name,uri,key,mode,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,new_order
9,Mastermind,spotify:track:56hioFjQ0DXrdn04hZcFgG,4,1,0.661,0.352,-14.077,0.571,0.00147,0.0884,0.13,125.934,50
103,Sad Beautiful Tragic (Taylor's Version),spotify:track:21SralRv4ucDT3i1rYrr85,7,1,0.601,0.406,-11.827,0.622,9.19e-05,0.133,0.232,130.059,51
57,Look What You Made Me Do,spotify:track:1P17dC1amhFzptugyAO7Il,9,0,0.766,0.709,-6.471,0.204,1.41e-05,0.126,0.506,128.07,52
24,State Of Grace (Taylor's Version),spotify:track:6lzc0Al0zfZOIFsFvBS1ki,9,1,0.594,0.713,-5.314,0.000328,0.0,0.114,0.328,129.958,53
113,Forever & Always (Taylor’s Version),spotify:track:1msEuwSBneBKpVCZQcFTsU,10,1,0.598,0.821,-4.433,0.0231,0.0,0.143,0.673,128.03,54
86,You Belong With Me (Taylor’s Version),spotify:track:1qrpoAMXodY6895hGKoUpA,6,1,0.632,0.773,-4.856,0.0623,0.0,0.0885,0.474,130.033,55
87,You’re Not Sorry (Taylor’s Version),spotify:track:6iiAfo4wTA2CVC3Uwx9uh8,6,1,0.506,0.444,-4.99,0.0538,0.0,0.123,0.241,133.873,56
96,Christmas Tree Farm,spotify:track:2mvabkN1i2gLnGAPUVdwek,7,1,0.598,0.68,-4.505,0.06,0.0,0.324,0.437,134.002,57
55,Don’t Blame Me,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,9,0,0.615,0.534,-6.719,0.106,1.76e-05,0.0607,0.193,135.917,58
88,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),spotify:track:2CYVETnhM9aytqrazYYwrK,11,0,0.66,0.817,-6.269,0.162,0.0,0.0667,0.714,135.942,59
42,right where you left me - bonus track,spotify:track:3zwMVvkBe2qIKDObWgXw4N,10,1,0.581,0.619,-6.524,0.769,0.000106,0.117,0.645,137.915,60
73,Wildest Dreams,spotify:track:106R7Z57WYzBAfrXImV30y,8,1,0.55,0.688,-7.416,0.0692,0.00144,0.106,0.465,139.997,61
12,Glitch,spotify:track:6wAFvJPpTZVirBKGZ4EnMW,11,0,0.675,0.466,-9.738,0.361,0.0,0.11,0.347,140.864,62
49,this is me trying,spotify:track:7cm50Lw03k6VvRauJtkyTj,9,1,0.511,0.478,-9.837,0.312,2.3e-05,0.147,0.408,135.882,63
114,this is me trying,spotify:track:5DnDBYrfGoxdnomqEAkFIv,9,1,0.511,0.478,-9.837,0.312,2.3e-05,0.147,0.408,135.882,64
118,mad woman - the long pond studio sessions,spotify:track:04xrhDrQ2WOW8GLwu7kbc0,3,1,0.663,0.465,-10.463,0.887,0.000168,0.109,0.346,141.834,65
72,This Love,spotify:track:1kTPQnabROVkW9bUXdCGrB,4,1,0.481,0.435,-8.795,0.678,0.0,0.0928,0.107,143.95,66
95,This Love (Taylor’s Version),spotify:track:4d1CG5ei1E2vGbvmgf5KKv,4,1,0.47,0.494,-8.672,0.302,0.0,0.0672,0.0524,144.039,67
26,I Almost Do (Taylor's Version),spotify:track:2r9CbjYgFhtAmcFv1cSquB,4,1,0.511,0.559,-6.587,0.0167,0.0,0.113,0.248,145.88,68
109,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),spotify:track:4ABYxlb92WBIjHu7TIKmml,7,1,0.576,0.57,-7.925,0.362,0.0,0.0668,0.378,147.803,69
119,peace - the long pond studio sessions,spotify:track:4YHHz3VIXgNDGdoL9xC1tx,5,1,0.619,0.344,-11.472,0.93,7.61e-05,0.0734,0.513,149.897,70
51,peace,spotify:track:6JlI8Ay77m4nJvZTHvfT1J,5,1,0.644,0.284,-12.879,0.916,1.5e-05,0.0909,0.328,150.072,71
23,Daylight,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,0,1,0.557,0.496,-9.602,0.808,0.000173,0.0772,0.265,149.983,72
33,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,0,1,0.391,0.715,-4.516,0.167,0.0,0.183,0.473,149.654,73
78,Back To December,spotify:track:7lxADouiWFkwR7ZV2GKUcH,2,1,0.529,0.67,-4.663,0.117,0.0,0.334,0.286,141.893,74
82,The Story Of Us,spotify:track:19tHCfzUSoy5HkpxcmbA0A,4,1,0.543,0.818,-3.611,0.00478,0.000368,0.0357,0.683,139.898,75
43,the 1,spotify:track:4pfrrhvplbJZAIsfosGWQP,0,1,0.78,0.361,-6.942,0.75,7.14e-06,0.108,0.163,139.902,76
5,Midnight Rain,spotify:track:6Nl7KyvjkFncGsjB49SxLl,0,1,0.636,0.377,-11.721,0.71,6.51e-05,0.115,0.23,139.966,77
18,Miss Americana & The Heartbreak Prince,spotify:track:214nt20w5wOxJnY462klLw,11,0,0.662,0.747,-6.926,0.028,0.00615,0.138,0.487,150.088,78
28,Holy Ground (Taylor's Version),spotify:track:7J4b3LVCIGO4CMBDFLPoP6,9,1,0.622,0.809,-5.623,0.0288,0.00218,0.109,0.511,156.894,79
100,"Would've, Could've, Should've",spotify:track:0aV5uARAknQgYhBaK944FP,7,1,0.483,0.84,-6.508,0.43,0.000575,0.146,0.55,157.979,80
53,...Ready For It?,spotify:track:2yLa0QULdQr0qAIvVwN6B5,2,1,0.613,0.764,-6.509,0.0527,0.0,0.197,0.417,160.015,81
62,Dancing With Our Hands Tied,spotify:track:7I7JbDv63ZJJsSi24DyJrz,0,0,0.624,0.691,-6.686,0.0604,1.1e-05,0.138,0.284,160.024,82
71,I Know Places,spotify:track:2zfgVd034GlUvk7LqBHl6u,0,1,0.602,0.755,-4.991,0.245,0.0,0.178,0.495,159.965,83
40,long story short,spotify:track:5VYWxXUpxuxEmCqMLDqICo,0,1,0.546,0.73,-7.704,0.66,0.179,0.0972,0.573,157.895,84
104,The Alcott (feat. Taylor Swift),spotify:track:6INztpNwOTlfSKTuPo0HOP,0,1,0.368,0.463,-10.595,0.811,0.0017,0.109,0.447,156.008,85
6,Bejeweled,spotify:track:0jvo9CjnbR0lYUDTSNTMiu,7,1,0.7,0.55,-9.13,0.0661,0.000102,0.091,0.412,164.003,86
98,Call It What You Want,spotify:track:1GwMQaZz6Au3QLDbjbMdme,9,1,0.598,0.504,-9.874,0.186,0.000221,0.34,0.252,163.954,87
83,Enchanted,spotify:track:14LtANuaslKWyYbktUrHBU,8,1,0.455,0.623,-3.878,0.0739,0.000424,0.146,0.208,163.893,88
84,Haunted,spotify:track:11UaQaEp2LvdspTyyuE3ur,5,1,0.436,0.95,-2.627,0.0826,1.08e-06,0.149,0.352,162.088,89
81,Mean,spotify:track:4N60XfcTE1ysLZGbYgnYXq,4,1,0.568,0.761,-3.987,0.452,0.0,0.217,0.789,163.974,90
105,Renegade,spotify:track:73W5aXorr5vxrySFcoZqIN,0,1,0.53,0.712,-8.135,0.44,0.0233,0.0931,0.577,167.964,91
68,You Are In Love,spotify:track:4A2LfnduSTsE8u0ecYROxE,2,1,0.474,0.48,-8.894,0.707,0.000108,0.0903,0.319,170.109,92
60,Getaway Car,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,2,1,0.562,0.689,-6.745,0.00465,2.23e-06,0.0888,0.351,172.054,93
92,champagne problems,spotify:track:0sY6ZUTh4yoctD8VIXz339,0,1,0.462,0.24,-12.077,0.92,0.0,0.113,0.32,171.319,94
52,the lakes - bonus track,spotify:track:0eFQWVz0qIxDOvhLpZ40P7,2,1,0.313,0.258,-11.532,0.842,1.3e-06,0.0948,0.268,179.947,95
66,Wonderland,spotify:track:0eTCaVOYLpJlSkbEi2jay4,3,1,0.422,0.692,-5.447,0.0493,2.57e-05,0.177,0.197,184.014,96
14,Cruel Summer,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,9,1,0.552,0.702,-5.707,0.117,2.06e-05,0.105,0.564,169.994,97
121,Bad Blood,spotify:track:6xsEAm6w9oMQYYg3jkEkMT,11,0,0.654,0.655,-7.388,0.0294,0.0,0.139,0.221,170.16,98
85,Long Live,spotify:track:7DjCRhhFo9PPzca1BjMLcf,7,1,0.418,0.68,-4.3,0.036,7.59e-05,0.114,0.142,204.12,99
25,Red (Taylor's Version),spotify:track:4OAuvHryIVv4kMDNSLuPt6,1,0,0.516,0.777,-4.908,0.00108,1.62e-06,0.0761,0.408,125.047,100
91,Treacherous (Taylor's Version),spotify:track:3S7HNKPakdwNEBFIVTL6dZ,2,1,0.645,0.593,-6.506,0.0344,0.000127,0.13,0.299,109.984,101
116,mirrorball - the long pond studio sessions,spotify:track:2yceD2hx5HhOLgkm1CITCi,2,1,0.509,0.386,-8.434,0.78,3.45e-05,0.118,0.109,109.993,102
61,King Of My Heart,spotify:track:7HuBDWi18s4aJM8UFnNheH,0,1,0.675,0.703,-7.902,0.00882,2.21e-06,0.0391,0.314,110.01,103
13,Dear Reader,spotify:track:3QF5RsWzK1lCvf2o2cY65P,0,1,0.562,0.388,-12.088,0.481,0.00145,0.117,0.159,107.747,104
7,Labyrinth,spotify:track:43q586vP8gGkYypKoSddhl,0,1,0.487,0.313,-15.434,0.791,0.348,0.124,0.141,110.039,105
102,Carolina - From The Motion Picture “Where The Crawdads Sing”,spotify:track:4axSuOg3BqsowKjRpj59RU,11,0,0.476,0.189,-13.777,0.904,4.52e-06,0.254,0.324,115.851,106
19,Paper Rings,spotify:track:4y5bvROuBDPr5fuwXbIBZR,9,1,0.811,0.719,-6.553,0.0129,1.36e-05,0.0742,0.865,103.979,107
90,Fearless (Taylor’s Version),spotify:track:77sMIMlNaSURUAXq5coCxE,5,1,0.569,0.741,-4.963,0.0122,0.0,0.333,0.43,100.118,108
99,Anti-Hero - ILLENIUM Remix,spotify:track:6C0H8ts9M6deezz0yYR6LK,1,0,0.6,0.722,-4.865,0.169,0.00017,0.288,0.388,96.957,109
54,I Did Something Bad,spotify:track:4svZDCRz4cJoneBpjpx8DJ,0,0,0.696,0.602,-6.156,0.0679,2.11e-05,0.0696,0.305,82.989,110
89,Bye Bye Baby (Taylor’s Version) (From The Vault),spotify:track:4qUijfYU8EoIWiY6oSyrgT,5,1,0.624,0.624,-7.86,0.334,0.0,0.0995,0.527,80.132,111
35,willow,spotify:track:2gVhfX2Gy1T9kDuS9azrF7,7,1,0.392,0.574,-9.195,0.833,0.00179,0.145,0.529,81.112,112
50,invisible string,spotify:track:2ehRU518I0hYqMGQnk4lDY,4,0,0.651,0.459,-11.128,0.859,6.63e-05,0.105,0.454,83.455,113
20,False God,spotify:track:5hQSXkFgbxjZo9uCwd11so,11,0,0.739,0.32,-10.862,0.736,0.000147,0.111,0.351,79.97,114
46,exile (feat. Bon Iver),spotify:track:5S4aYQAJOwJMAamANWlICO,6,1,0.31,0.374,-8.464,0.761,2.46e-05,0.11,0.16,75.938,115
30,Better Man (Taylor's Version) (From The Vault),spotify:track:4OmFmE0fzcMG6g0Y8p4eSD,4,1,0.473,0.579,-5.824,0.214,0.0,0.0877,0.255,73.942,116
58,So It Goes...,spotify:track:5PxFv9yJEg9dxvbZggykro,2,1,0.574,0.61,-7.283,0.122,1.1e-06,0.13,0.374,74.957,117
15,Lover,spotify:track:1dGr1c8CrMLDpV6mPbImSI,7,1,0.359,0.543,-7.582,0.492,1.58e-05,0.118,0.453,68.534,118
22,It’s Nice To Have A Friend,spotify:track:1SmiQ65iSAbPto6gPFlBYm,10,1,0.737,0.175,-9.912,0.971,0.000337,0.171,0.545,70.008,119
117,this is me trying - the long pond studio sessions,spotify:track:1gaLZjPrDnHQWJds2Jg4KT,9,1,0.435,0.332,-11.611,0.928,0.000898,0.0867,0.157,68.097,120
107,Enchanted (Taylor's Version),spotify:track:3sW3oSbzsfecv9XoUdGs7h,8,1,0.505,0.532,-3.526,0.012,0.0,0.149,0.216,81.907,121
